"","X1h.m1.t","X1h.m1.u","X1h.m2.t","X1h.m2.u","X1h.m3.t","X1h.m3.u"
"Gm7634",0,0,0,0,0,0
"4930444P10Rik",0,0,0,0,0,0
"Rpl7",961.26008398141,892.180438899262,955.27594466449,951.707776751073,886.368636663672,908.887958314778
"Rdh10",25.9507784201955,17.7961523716608,7.23693897473099,10.8823134555736,14.7873079718179,9.86729990932811
"Stau2",42.1700149328178,55.7612774312039,32.9682775515523,43.5292538222944,40.0127156884484,46.0473995768645
"Ube2w",130.835174535153,142.369218973286,129.460797214632,126.630556573947,134.825455037163,122.793065538305
"Tceb1",182.736731375544,215.926648776151,162.429074766184,167.19190672654,151.352446299783,175.418665054722
"D030040B21Rik",0,0,0.804104330525665,0,0.869841645401052,0
"Tmem70",55.1454041429155,51.015636798761,65.1324507725789,50.4543623849321,46.1016072062557,54.8183328296006
"Ly96",61.6330987479644,64.0661485379789,58.6996161283736,47.4864587152302,54.8000236602663,53.7219661730086
"Jph1",1.08128243417481,1.18641015811072,0,0,0.869841645401052,0
"Gdap1",0,0,0,0,0,0
"Pi15",1.08128243417481,0,0,0.989301223233963,0,0
"Crispld1",0,0,0,0,0,0
"Crisp4",0,0,0,0,0,0
"Defb44-ps",0,0,0,0,0,0
"Defb18",0,0,0,0,0,0
"Defb41",0,0,0,0,0,0
"Gm15386",0,0,0,0,0,0
"Tfap2d",0,0,0,0,0,0
"Tfap2b",0,0,0,0,0,0
"Pkhd1",0,0,0,0,0,1.09636665659201
"4930486I03Rik",0,0,0,0,0,0
"Mir206",0,0,0,0,0,0
"Mir133b",0,0,0,0,0,0
"Il17a",0,0,2.412312991577,9.89301223233963,0,0
"Il17f",0,0,2.412312991577,1.97860244646793,2.60952493620316,0
"Mcm3",85.4213122998103,81.8623009096397,74.7817027388869,67.2724831799095,68.7174899866831,60.3001661125607
"6720483E21Rik",0,0,0,0,0,0
"Paqr8",9.73154190757333,9.49128126488576,13.6697736189363,10.8823134555736,7.82857480860947,6.57819993955207
"Efhc1",0,0,0.804104330525665,1.97860244646793,1.7396832908021,3.28909996977604
"Tram2",23.7882135518459,26.1010234784358,41.0093208568089,28.6897354737849,38.2730323976463,47.1437662334565
"Tmem14a",0,3.55923047433216,3.21641732210266,1.97860244646793,3.47936658160421,2.19273331318402
"Gsta3",1.08128243417481,1.18641015811072,2.412312991577,0,2.60952493620316,0
"Gm4956",0,0,0,0,0,0
"Khdc1a",0,0,0,0,0,0
"Khdc1c",0,0,0,0,0,0
"Khdc1b",0,0,0,0,0,0
"Kcnq5",0,0,1.60820866105133,0,0,0
"Rims1",0,0,0.804104330525665,0,0,0
"Rims1-2",0,0,0,0,0,0
"4933415F23Rik",0,0,0,0,0,0
"Mir30a",0,0,0.804104330525665,0,0,0
"Mir30c-2",0,0,0.804104330525665,0,0,0
"Ogfrl1",100.559266378258,48.6428164825395,97.2966239936055,46.4971574919963,61.7587568234747,69.0710993652967
"Gm19673",0,0,0,0,0,0
"B3gat2",0,0,0,0,0,0
"Smap1",330.872424857493,250.332543361362,274.199576709252,275.025740059042,261.822335265717,282.862597400739
"1110058L19Rik",20.5443662493215,23.7282031622144,16.0820866105133,30.6683379202529,35.6635074614431,37.2764663241284
"Fam135a",83.2587474314607,74.7438399609754,77.1940157304639,69.2510856263774,80.0254313768968,66.8783660521127
"Col9a1",0,0,0,0,0,0
"Col19a1",0,1.18641015811072,0,0,0,2.19273331318402
"Lmbrd1",509.284026496337,533.884571149824,526.688336494311,536.201262992808,529.733562049241,503.232295375733
"Bai3",0,0,0,0,0,0
"Gm20172",0,0,0,0,0,0
"4931408C20Rik",0,0,0,0,0,0
"Gm5524",0,0,0,0,0,0
"Gm7846",3.24384730252444,1.18641015811072,3.21641732210266,0.989301223233963,2.60952493620316,0
"Gm597",0,0,0,0,0,0
"Gm6462",0,0,0,0,0,0
"Gm9898",0,0,0,0,0,0
"Phf3",481.170683207792,448.463039765852,510.606249883797,470.907382259367,476.673221679776,458.281262455461
"Ptp4a1",893.139290628396,734.387887870536,823.402834458281,657.885313450586,813.301938449983,727.987459977096
"4931428L18Rik",0,0,0,0,0,0
"Lgsn",0,0,0,0,0,0
"4930521A18Rik",0,0,0,0,0,0
"Gm4850",0,0,0,0,0,0
"Gm6489",0,0,0,0,0,0
"Khdrbs2",0,0,0,0,0,0
"Gm9839",0,0,0,0,0,0
"Gm5415",0,0,0,0,0,0
"Prim2",37.8448851961185,62.8797383798682,56.2873031367966,47.4864587152302,46.9714488516568,44.9510329202725
"1700001G17Rik",1.08128243417481,1.18641015811072,0,0,0,0
"Rab23",36.7636027619437,22.5417930041037,25.7313385768213,20.7753256879132,26.0952493620316,27.4091664148003
"Bag2",7.5689770392237,5.9320507905536,3.21641732210266,0.989301223233963,2.60952493620316,4.38546662636805
"Zfp451",144.891846179425,125.759476759736,124.636171231478,142.459376145691,169.619120853205,128.274898821265
"Gm15455",1.08128243417481,3.55923047433216,0,0.989301223233963,1.7396832908021,0
"Bend6",5.40641217087407,15.4233320554394,7.23693897473099,9.89301223233963,4.34920822700526,6.57819993955207
"Dst",3661.22232211592,2620.78003926658,2486.29058998536,2135.90134096213,2425.11850737813,2372.53744486511
"Mir5103",2.16256486834963,3.55923047433216,0.804104330525665,2.96790366970189,4.34920822700526,3.28909996977604
"Ccdc115",108.128243417481,96.0992228069683,81.2145373830922,92.0050137607586,74.8063815044905,78.9383992746249
"Imp4",129.753892100978,134.064347866511,124.636171231478,110.801737002204,126.127038583153,138.142198730593
"D1Ertd448e",42.1700149328178,40.3379453757645,44.2257381789116,51.4436636081661,33.923824170641,51.5292328598246
"Ptpn18",3.24384730252444,1.18641015811072,8.04104330525665,10.8823134555736,6.08889151780736,8.77093325273609
"Prss39",0,0,0,0,0,0
"Cfc1",0,0,0,0,0,0
"Prss40",0,0,0,0,0,0
"Fam123c",0,0,0,0,0,0
"AA619741",0,0,0,0,0,0
"Arhgef4",2.16256486834963,8.30487110677504,2.412312991577,0,1.7396832908021,1.09636665659201
"Fam168b",407.643477683905,416.429965496863,423.762982187026,370.987958712736,394.038265366677,421.004796131333
"Plekhb2",670.395109188385,691.67712217855,660.973759692097,670.746229352627,690.654266448435,712.638326784808
"Hs6st1",142.729281311075,96.0992228069683,145.542883825145,161.256099387136,146.133396427377,144.720398670146
"Uggt1",830.424909446257,756.92968087464,804.104330525665,725.157796630495,835.917821230411,833.238659009929
"Neurl3",111.372090720006,166.097422135501,172.078326732492,200.828148316495,238.336610839888,179.80413168109
"Arid5a",63.795663616314,124.573066601626,136.697736189363,198.849545870027,112.209572256736,160.069531862434
"4632411B12Rik",197.874685453991,239.654851938366,252.488759785059,246.336004585257,236.596927549086,252.164331016163
"Lman2l",84.3400298656355,93.7264024907469,84.4309547051948,101.898025993098,80.8952730222978,105.251199032833
"Cnnm4",21.6256486834963,36.7787149014323,32.9682775515523,23.7432293576151,25.2254077166305,33.9873663543524
"Cnnm3",46.495144669517,61.6933282217575,41.0093208568089,40.5613501525925,44.3619239154536,47.1437662334565
"Ankrd23",5.40641217087407,3.55923047433216,11.2574606273593,3.95720489293585,17.396832908021,4.38546662636805
"Ankrd39",17.300518946797,20.1689726878822,20.9067125936673,13.8502171252755,13.9174663264168,14.2527665356962
"Sema4c",6.48769460504888,28.4738437946573,12.8656692884106,22.7539281343812,21.7460411350263,25.2164331016163
"Fam178b",0,0,0,0,0,0
"Cox5b",137.322869140201,208.808187827487,151.171614138825,157.2988944942,137.434979973366,137.045832074001
"Actr1b",211.931357098264,221.858699566705,222.736899555609,229.51788379028,191.365161988231,209.406031409074
"4933424G06Rik",1.08128243417481,1.18641015811072,0,0,0,0
"Zap70",0,0,0.804104330525665,4.94650611616982,0,0
"Tmem131",613.08714017712,555.239953995817,574.934596325851,539.16916666251,649.771709114586,611.772594378343
"Vwa3b",0,0,0,0.989301223233963,0,2.19273331318402
"Cnga3",0,0,0,0,0,0
"Inpp4a",259.507784201955,243.214082412698,258.117490098739,274.036438835808,227.898511095076,217.080598005218
"6330578E17Rik",477.926835905268,516.088418778163,791.238661237255,974.461704885454,614.978043298544,711.541960128216
"Unc50",80.0149001289362,96.0992228069683,95.6884153325542,103.876628439566,62.6285984688757,80.0347659312169
"Mgat4a",196.793403019816,389.142531860316,224.345108216661,281.95084862168,407.085890047692,382.631963150612
"4930594C11Rik",12.9753892100978,26.1010234784358,12.061564957885,13.8502171252755,40.8825573338494,29.6018997279843
"LOC100861893",0,0,0,0,0,0
"2010300C02Rik",0,0,0,0.989301223233963,0,0
"Gm19863",0,0,0,0,0,0
"Tsga10",35.6823203277689,32.0330742689895,31.3600688905009,27.700434250551,36.5333491068442,33.9873663543524
"Lipt1",4.32512973669926,2.37282031622144,5.62873031367966,0,3.47936658160421,5.48183328296006
"Mitd1",101.640548812433,130.505117392179,172.078326732492,171.149111619476,109.600047320533,94.287532466913
"Mrpl30",114.61593802253,117.454605652961,146.346988155671,125.641255350713,90.4635311217094,108.540299002609
"Lyg2",0,0,0,0,0,0
"Lyg1",0,0,0,0,0,0
"Txndc9",214.093921966613,261.010234784358,221.128690894558,247.325305808491,293.136634500154,266.417097551859
"Eif5b",583.8925144544,582.527387632364,630.417795132121,663.821120789989,626.285984688757,619.447160974487
"Rev1",165.436212428747,137.623578340844,143.130570833568,135.534267583053,152.222287945184,124.985798851489
"Aff3",2.16256486834963,7.11846094866432,4.02052165262833,9.89301223233963,10.4380997448126,5.48183328296006
"Lonrf2",0,0,0,0,0,0
"Chst10",11.894106775923,2.37282031622144,8.04104330525665,0.989301223233963,4.34920822700526,3.28909996977604
"Gm19877",0,0,0,1.97860244646793,0,0
"Nms",0,0,0,0,0,0
"Pdcl3",111.372090720006,121.013836127293,104.533562968336,114.75894189514,104.380997448126,116.214865598753
"Npas2",0,1.18641015811072,4.82462598315399,4.94650611616982,0.869841645401052,4.38546662636805
"Rpl31",570.917125244302,653.711997119007,522.667814841682,564.890998466593,467.104963580365,498.846828749365
"Tbc1d8",37.8448851961185,21.355382845993,37.7929035347063,27.700434250551,54.8000236602663,27.4091664148003
"D1Bwg0212e",37.8448851961185,62.8797383798682,71.5652854167842,65.2938807334416,68.7174899866831,58.1074327993766
"Snord89",37.8448851961185,34.4058945852109,31.3600688905009,28.6897354737849,39.1428740430473,26.3127997582083
"Rnf149",3212.49011193337,2560.27312120293,2495.93984195166,1932.10528897593,2158.07712224001,2033.76014797818
"Creg2",145.9731286136,149.487679921951,121.419753909375,67.2724831799095,98.2921059303189,87.7093325273609
"Rfx8",0,0,0,0,0,0
"Gm3646",0,0,0,0,0,0
"1700066B17Rik",0,0,0,0,0,0
"Map4k4",1328.89611160085,981.161200757566,1018.80018677602,976.440307331922,1163.84812154661,1083.21025671291
"Gm16894",0,0,0,0,0,0
"Il1r2",2.16256486834963,3.55923047433216,0,1.97860244646793,0.869841645401052,2.19273331318402
"Il1r1",44.3325798011674,49.8292266406503,13.6697736189363,7.91440978587171,31.3142992344379,21.9273331318402
"Il1rl2",198.955967888166,153.046910396283,145.542883825145,107.833833332502,141.784188200371,105.251199032833
"Il1rl1",2.16256486834963,1.18641015811072,6.43283464420532,7.91440978587171,5.21904987240631,4.38546662636805
"Il18r1",0,2.37282031622144,3.21641732210266,10.8823134555736,0.869841645401052,5.48183328296006
"Il18rap",0,1.18641015811072,4.02052165262833,9.89301223233963,2.60952493620316,1.09636665659201
"Slc9a4",124.347479930104,73.5574298028647,77.1940157304639,32.6469403667208,38.2730323976463,36.1800996675364
"Slc9a2",3.24384730252444,0,0,0,0.869841645401052,1.09636665659201
"Mfsd9",32.4384730252444,24.9146133203251,32.9682775515523,32.6469403667208,26.9650910074326,25.2164331016163
"Tmem182",0,0,0.804104330525665,0,0,0
"4930448I06Rik",0,0,0,0,0,0
"2610017I09Rik",0,0,0,0,0,0
"Pou3f3",0,0,0,0,0,0
"2900092D14Rik",0,0,0,0,0,0
"Mrps9",89.7464420365096,68.8117891704218,64.3283464420532,66.2831819566755,80.8952730222978,73.4565659916648
"Gpr45",0,0,0,0,0,0
"Tgfbrap1",207.606227361564,167.283832293612,208.263021606147,158.288195717434,191.365161988231,177.611398367906
"AI597479",70.2833582213629,53.3884571149824,73.1734940778355,71.2296880728454,79.1555897314957,72.3601993350728
"Fhl2",0,0,0,0,0.869841645401052,1.09636665659201
"Gm8210",400.074500644681,363.04150838188,353.805905431293,335.373114676314,302.704892599566,330.006363634196
"Nck2",10.8128243417481,4.74564063244288,26.535442907347,14.8395183485095,19.1365161988231,19.7345998186562
"LOC100861934",2.16256486834963,0,0,2.96790366970189,11.3079413902137,4.38546662636805
"1500015O10Rik",0,0,0,0,0,0
"Uxs1",61.6330987479644,91.3535821745255,61.1119291199506,66.2831819566755,60.0190735326726,66.8783660521127
"Gm19587",0,1.18641015811072,0,0,0,0
"Tpp2",493.064789983715,448.463039765852,466.380511704886,465.960876143197,483.631954842985,438.546662636805
"A530098C11Rik",0,0,0,0,0,0
"1700029F09Rik",31.3571905910696,28.4738437946573,34.5764862126036,24.7325305808491,21.7460411350263,27.4091664148003
"Kdelc1",71.3646406555377,62.8797383798682,64.3283464420532,48.4757599384642,46.1016072062557,64.6856327389287
"Bivm",62.7143811821392,65.2525586960896,67.5447637641559,66.2831819566755,62.6285984688757,57.0110661427846
"Ercc5",46.495144669517,66.4389688542003,65.9365551031045,57.3794709475699,50.450815433261,54.8183328296006
"LOC100861960",1.08128243417481,0,0,0,0,0
"4832428D23Rik",0,0,0,0,0,0
"Gulp1",0,0,0,0.989301223233963,0,2.19273331318402
"4930521E06Rik",0,0,0,0,0,0
"Col3a1",20.5443662493215,15.4233320554394,92.4719980104515,133.555665136585,48.7111321424589,84.4202325575849
"Col5a2",9.73154190757333,13.0505117392179,40.2052165262833,87.0585076445888,39.1428740430473,52.6255995164166
"Wdr75",150.298258350299,149.487679921951,123.027962570427,133.555665136585,107.86036402973,112.925765628977
"Gm5526",64.8769460504888,91.3535821745255,57.8955117978479,90.0264113142907,68.7174899866831,59.2037994559686
"Slc40a1",0,1.18641015811072,2.412312991577,4.94650611616982,1.7396832908021,0
"Gm3852",0,0,0,0,0,0
"Gm4776",0,0,0,0,0,1.09636665659201
"Dnahc7b",0,0,0,0,0.869841645401052,0
"Dnahc7c",0,0,0,0,0,0
"Slc39a10",34.6010378935941,48.6428164825395,28.9477558989239,35.6148440364227,44.3619239154536,55.9146994861926
"C230029F24Rik",0,0,0,0,0,0
"Tmeff2",0,0,0.804104330525665,0,0,0
"9330175M20Rik",0,0,0,0,0,0
"Sdpr",0,0,0,0,0,0
"Obfc2a",143.81056374525,176.775113558497,160.016761774607,142.459376145691,216.590569704862,168.84046511517
"Gm17767",0,1.18641015811072,0,4.94650611616982,0,0
"Myo1b",138.404151574376,142.369218973286,94.8843110020285,56.3901697243359,145.263554781976,92.094799153729
"Stat4",4.32512973669926,8.30487110677504,22.5149212547186,12.8609159020415,24.3555660712295,24.1200664450243
"Gm3940",0,0,0,0,0,0
"Stat1",757.978986356545,912.349411587144,2415.5294088991,2588.01199998005,1857.11191293125,2101.73488068689
"Gls",587.136361756924,543.37585241471,557.244301054286,561.923094796891,541.041503439454,583.26706130695
"Nab1",546.047629258281,435.412528026634,521.863710511157,449.142755348219,460.146230417156,439.643029293397
"Tmem194b",6.48769460504888,8.30487110677504,7.23693897473099,6.92510856263774,13.9174663264168,2.19273331318402
"Mfsd6",17.300518946797,20.1689726878822,23.3190255852443,21.7646269111472,20.0063578442242,13.1563998791041
"Inpp1",4.32512973669926,7.11846094866432,12.8656692884106,17.8074220182113,9.56825809941157,10.9636665659201
"Hibch",28.1133432885452,34.4058945852109,22.5149212547186,10.8823134555736,20.0063578442242,13.1563998791041
"1700019D03Rik",0,0,0,0,0,0
"Mstn",0,0,0,0,0,0
"1700019A02Rik",0,0,0,0.989301223233963,1.7396832908021,0
"Pms1",36.7636027619437,39.1515352176538,28.1436515683983,45.5078562687623,34.7936658160421,30.6982663845763
"Ormdl1",80.0149001289362,135.250758024622,90.8637893494002,113.769640671906,107.86036402973,109.636665659201
"Osgepl1",17.300518946797,18.9825625297715,21.710816924193,18.7967232414453,24.3555660712295,14.2527665356962
"Asnsd1",247.613677426032,202.876137036933,176.902952715646,167.19190672654,185.276270470424,180.900498337682
"Dnahc7a",0,0,0,0,0,0
"Stk17b",185.980578678068,201.689726878822,229.97383853034,183.020726298283,235.727085903685,211.598764722258
"Hecw2",2.16256486834963,4.74564063244288,2.412312991577,3.95720489293585,0.869841645401052,3.28909996977604
"Ccdc150",0,0,0,0,0.869841645401052,0
"Gtf3c3",100.559266378258,126.945886917847,123.027962570427,140.480773699223,147.003238072778,117.311232255345
"Pgap1",127.591327232628,160.165371344947,350.58948810919,342.298223238951,283.568376400743,285.055330713923
"Ankrd44",148.13569348195,141.182808815176,166.449596418813,118.716146788076,173.96832908021,156.780431892658
"Sf3b1",969.910343454808,945.568896014244,1114.48860210857,1097.13505656647,1146.45128863859,1087.59572333928
"Coq10b",83.2587474314607,97.2856329650791,101.317145646234,117.726845564842,106.120680738928,109.636665659201
"Hspd1",1025.05574759772,894.553259215483,771.136052974113,846.841847088273,748.063815044905,806.925859251721
"Hspe1",236.800853084284,200.503316720712,184.139891690377,201.817449539729,173.098487434809,237.911564480467
"Mob4",171.923907033795,106.776914229965,195.397352317737,158.288195717434,173.96832908021,137.045832074001
"Rftn2",6.48769460504888,3.55923047433216,9.64925196630798,8.90371100910567,10.4380997448126,9.86729990932811
"Mars2",16.2192365126222,8.30487110677504,11.2574606273593,13.8502171252755,15.6571496172189,23.0236997884322
"Boll",1.08128243417481,0,0.804104330525665,0,0,0
"Plcl1",1.08128243417481,2.37282031622144,1.60820866105133,1.97860244646793,0.869841645401052,0
"Gm6644",48.6577095378666,47.4564063244288,40.2052165262833,30.6683379202529,33.923824170641,29.6018997279843
"9130227L01Rik",4.32512973669926,8.30487110677504,0.804104330525665,1.97860244646793,3.47936658160421,2.19273331318402
"Hsfy2",0,0,0,0,0,0
"Satb2",69.2020757871881,107.963324388076,58.6996161283736,65.2938807334416,103.511155802725,100.865732406465
"9130024F11Rik",0,1.18641015811072,0,0,0,0
"BC055402",0,0,0,0,0,0
"4930558J18Rik",0,0,0,0,0,0
"1700066M21Rik",28.1133432885452,53.3884571149824,41.0093208568089,42.5399525990604,33.05398252524,43.8546662636805
"1110034B05Rik",28.1133432885452,39.1515352176538,49.0503641620656,24.7325305808491,46.9714488516568,28.5055330713923
"9430016H08Rik",36.7636027619437,35.5923047433216,41.0093208568089,39.5720489293585,36.5333491068442,35.0837330109444
"Spats2l",0,0,12.061564957885,3.95720489293585,3.47936658160421,1.09636665659201
"Kctd18",42.1700149328178,45.0835860082074,51.4626771536426,56.3901697243359,59.1492318872715,47.1437662334565
"Sgol2",11.894106775923,7.11846094866432,14.473877949462,7.91440978587171,3.47936658160421,5.48183328296006
"Aox1",17.300518946797,13.0505117392179,20.9067125936673,16.8181207949774,24.3555660712295,12.0600332225121
"Aox3",0,0,0,0,0,0
"Aox4",0,0,0,0,0,0
"Aox3l1",1.08128243417481,0,0,0.989301223233963,0,0
"Bzw1",828.262344577908,870.825056053269,751.837549041497,685.585747701137,835.04797958501,820.082259130825
"Clk1",283.295997753801,244.400492570808,361.846948736549,344.276825685419,324.450933734592,312.464497128723
"Ppil3",72.4459230897125,72.3710196447539,57.8955117978479,81.122700305185,64.3682817596778,60.3001661125607
"Nif3l1",72.4459230897125,64.0661485379789,70.7611810862585,50.4543623849321,64.3682817596778,64.6856327389287
"Orc2",158.948517823698,161.351781503058,129.460797214632,118.716146788076,112.209572256736,115.118498942161
"Gm15834",3.24384730252444,2.37282031622144,2.412312991577,0,2.60952493620316,2.19273331318402
"Fam126b",329.791142423318,149.487679921951,276.611889700829,154.330990824498,200.063578442242,172.129565084946
"Ndufb3",148.13569348195,117.454605652961,135.893631858837,108.823134555736,102.641314157324,97.5766324366891
"Gm20257",8.65025947339851,5.9320507905536,16.886190941039,14.8395183485095,5.21904987240631,7.67456659614408
"Als2cr12",5.40641217087407,1.18641015811072,0.804104330525665,0,0.869841645401052,0
"Cflar",3214.65267680172,2756.0307972912,4232.8051958871,3568.40951220491,2856.55996349705,3059.9593385483
"Casp8",289.78369235885,342.872535693998,369.887992041806,451.121357794687,365.333491068442,334.391830260564
"Trak2",422.781431762352,393.888172492759,369.08388771128,338.341018346015,339.23824170641,335.488196917156
"Stradb",83.2587474314607,47.4564063244288,57.0914074673222,61.3366758405057,55.6698653056673,53.7219661730086
"Als2cr11",0,0,0,0,0,0
"Als2cr4",91.9090069048592,78.3030704353075,80.4104330525665,68.2617844031435,70.4571732774852,85.5165992141769
"Mpp4",0,1.18641015811072,1.60820866105133,0,0,1.09636665659201
"Als2",174.086471902145,182.707164349051,211.47943892825,202.806750762962,227.028669449675,230.236997884322
"Cdk15",0,0,0,0,0,0
"Fzd7",65.9582284846637,81.8623009096397,57.0914074673222,97.9408211001624,108.730205675131,96.480265780097
"Gm973",0,0,0,0,0.869841645401052,0
"Sumo1",225.988028742536,221.858699566705,269.374950726098,263.154125380234,225.288986158872,225.851531257954
"Nop58",144.891846179425,109.149734546186,110.966397612542,113.769640671906,111.339730611335,131.563998791041
"Snord70",0,0,2.412312991577,0.989301223233963,4.34920822700526,1.09636665659201
"Snord11",0,0,0,0,0,1.09636665659201
"Bmpr2",307.084211305647,306.093820792566,283.84882867556,301.736873086359,290.527109563951,304.789930532579
"Gm20272",23.7882135518459,37.965125059543,32.9682775515523,22.7539281343812,26.0952493620316,30.6982663845763
"Fam117b",150.298258350299,92.5399923326362,147.955196816722,141.470074922457,160.920704399195,153.491331922882
"Ica1l",1.08128243417481,0,0,1.97860244646793,0,0
"Wdr12",70.2833582213629,111.522554862408,72.3693897473099,67.2724831799095,79.1555897314957,78.9383992746249
"Carf",30.2759081568948,23.7282031622144,27.3395472378726,19.7860244646793,31.3142992344379,18.6382331620642
"Gm15464",2.16256486834963,5.9320507905536,4.02052165262833,0.989301223233963,4.34920822700526,6.57819993955207
"Nbeal1",339.522684330892,323.889973164227,336.115610159728,318.554993881336,437.530347636729,344.259130169892
"Cyp20a1",118.94106775923,128.132297075958,65.9365551031045,91.0157125375246,84.374639603902,131.563998791041
"Abi2",107.046960983307,137.623578340844,93.2761023409772,87.0585076445888,133.955613391762,133.756732104225
"Raph1",357.904485711863,455.581500714517,374.71261802496,328.448006113676,537.56213685785,472.534028991157
"Gm11575",3.24384730252444,5.9320507905536,7.23693897473099,0.989301223233963,5.21904987240631,5.48183328296006
"Gm11578",0,0,0,0,0,0
"Cd28",0,0,0.804104330525665,0,0,1.09636665659201
"Gm11579",0,0,0,0,0,0
"Ctla4",0,0,2.412312991577,1.97860244646793,0,3.28909996977604
"Icos",0,0,0,7.91440978587171,0.869841645401052,1.09636665659201
"9530026F06Rik",0,0,0,0,0,0
"Pard3b",3.24384730252444,0,0,0,0.869841645401052,0
"Nrp2",2412.34111064401,3667.19379872024,3172.19158392375,4118.46099232299,3251.46807050913,3945.82359707465
"4930487H11Rik",0,0,0,0,0,0
"Ino80d",433.5942561041,503.037907038945,461.555885721732,412.538610088563,473.193855098172,480.208595587301
"Gm11602",7.5689770392237,4.74564063244288,2.412312991577,2.96790366970189,6.95873316320842,3.28909996977604
"Gm20342",9.73154190757333,14.2369218973286,8.84514763578232,3.95720489293585,11.3079413902137,9.86729990932811
"Ndufs1",307.084211305647,252.705363677583,268.570846395572,260.186221710532,250.514393875503,254.357064329347
"Eef1b2",377.36756952701,405.752274073866,356.21821842287,353.180536694525,256.60328539331,348.64459679626
"Snora41",2.16256486834963,0,3.21641732210266,0.989301223233963,0,1.09636665659201
"Gpr1",0,0,0,0,0,0
