"","X1h.m1.t","X1h.m1.u","X1h.m2.t","X1h.m2.u","X1h.m3.t","X1h.m3.u"
"Xkr4",0,0,0,0,0,0
"Gm19938",0,0,0,0,0,0
"Gm10568",0,0,0,0,0,0
"Rp1",0,0,0,0,0,0
"Sox17",0,0,0,0,0,0
"Mrpl15",95.1528542073836,100.844863439411,77.1940157304639,82.112001528419,92.2032144125115,85.5165992141769
"Lypla1",274.645738280403,239.654851938366,278.22009836188,194.892340977091,280.95885146454,240.104297793651
"Gm19860",0,0,0,0,0,0
"Tcea1",323.303447818269,339.313305219666,369.08388771128,367.0307538198,343.587449933415,347.548230139668
"Rgs20",0,0,0,0,0,0
"Atp6v1h",736.353337673048,883.875567792487,673.839428980507,707.350374612284,683.695533285227,675.361860460679
"Oprk1",0,0,0,0,0,0
"Npbwr1",0,0,0,0,0,0
"Rb1cc1",316.815753213221,282.365617630351,308.776062921855,270.079233942872,304.444575890368,278.477130774371
"Fam150a",0,0,0,0,0,0
"St18",78.9336176947614,67.6253790123111,47.4421555010142,43.5292538222944,48.7111321424589,50.4328662032325
"Pcmtd1",291.9462572272,185.079984665272,559.656614045863,469.918081036133,317.492200571384,312.464497128723
"Sntg1",0,0,0,0,0,0
"Rrs1",163.273647560397,151.860500238172,109.35818895149,108.823134555736,110.469888965934,94.287532466913
"Adhfe1",60.5518163137896,41.5243555338752,69.9570767557329,43.5292538222944,53.9301820148652,47.1437662334565
"2610203C22Rik",5.40641217087407,1.18641015811072,6.43283464420532,2.96790366970189,4.34920822700526,5.48183328296006
"3110035E14Rik",0,0,0,0,0,0
"Mybl1",4.32512973669926,3.55923047433216,3.21641732210266,4.94650611616982,5.21904987240631,4.38546662636805
"Vcpip1",382.773981697884,380.837660753541,457.535364069103,522.351045867533,447.098605736141,474.726762304341
"1700034P13Rik",3.24384730252444,2.37282031622144,0.804104330525665,0,0.869841645401052,1.09636665659201
"Sgk3",124.347479930104,201.689726878822,133.48131886726,119.70544801131,191.365161988231,140.334932043778
"Gm6195",0,2.37282031622144,0,0,0,0
"6030422M02Rik",1.08128243417481,0,0,0,0.869841645401052,2.19273331318402
"Snhg6",14.0566716442726,26.1010234784358,16.886190941039,11.8716146788076,15.6571496172189,14.2527665356962
"Snord87",0,5.9320507905536,0.804104330525665,0,0.869841645401052,0
"Gm10567",4.32512973669926,7.11846094866432,4.02052165262833,5.93580733940378,7.82857480860947,4.38546662636805
"Tcf24",0,0,0,0,0.869841645401052,0
"Ppp1r42",0,0,0,0,0,0
"Cops5",189.224425980592,231.34998083159,211.47943892825,200.828148316495,180.927062243419,224.755164601362
"Cspp1",113.534655588355,91.3535821745255,131.873110206209,110.801737002204,140.044504909569,103.058465719649
"Arfgef1",1881.43143546418,1165.05477526473,1385.47176149572,1119.88898470085,1419.58156529452,1414.3129870037
"Cpa6",1.08128243417481,1.18641015811072,0,0,1.7396832908021,0
"Prex2",1.08128243417481,0,0,0.989301223233963,0,2.19273331318402
"A830018L16Rik",0,0,0,0,0,0
"4932411L15",0,0,0,0,0,0
"Sulf1",2.16256486834963,1.18641015811072,5.62873031367966,24.7325305808491,4.34920822700526,13.1563998791041
"Slco5a1",0,0,1.60820866105133,1.97860244646793,4.34920822700526,0
"Prdm14",0,0,0,0,0,0
"Ncoa2",306.002928871472,220.672289408594,268.570846395572,224.57137767411,304.444575890368,256.549797642531
"Tram1",724.459230897125,717.778145656986,686.705098268918,607.430951065654,688.914583157633,688.518260339783
"Lactb2",147.054411047775,119.827425969183,101.317145646234,95.9622186536944,120.907988710746,123.889432194897
"Xkr9",0,0,0,0,0,0
"Gm5523",0,0,0,0,0,0
"Eya1",4.32512973669926,7.11846094866432,1.60820866105133,4.94650611616982,6.08889151780736,4.38546662636805
"Msc",0,0,0.804104330525665,0,0,0
"Trpa1",0,0,0,0.989301223233963,0,0
"Kcnb2",0,0,0,0,0,0
"Terf1",38.9261676302933,40.3379453757645,35.3805905431293,47.4864587152302,47.8412904970579,44.9510329202725
"Gm106",0,0,0,0,0,0
