,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Dsel,75.97585942,-0.194454005,0.323273964,-0.601514588,0.547497298,0.999931188
Cntnap5a,0,NA,NA,NA,NA,NA
Gm7145,0,NA,NA,NA,NA,NA
Tsn,237.9534036,0.060499708,0.208060827,0.290778947,0.771220388,0.999931188
Mki67ip,97.20938649,-0.041767226,0.284210082,-0.146958987,0.883164393,0.999931188
Clasp1,302.1651859,0.071715316,0.193262286,0.371077658,0.710579691,0.999931188
2900060B14Rik,5.014915419,0.685050391,1.16190376,0.589593058,0.555463507,NA
Tfcp2l1,0.527502101,-2.301592251,3.938901018,-0.584323455,0.559002715,NA
Gli2,0,NA,NA,NA,NA,NA
Inhbb,0.365455552,-1.55492231,4.048868873,-0.384038693,0.700949769,NA
Gm19295,0,NA,NA,NA,NA,NA
Ralb,254.601441,-0.038538747,0.205859058,-0.187209383,0.851496468,0.999931188
Tmem185b,95.6683016,0.170248077,0.29072883,0.585590625,0.55815065,0.999931188
Epb4.1l5,4.096077415,0.67999282,1.299819703,0.523143955,0.600874079,NA
Ptpn4,59.66093532,-0.222906649,0.360588839,-0.618174011,0.53646064,0.999931188
Tmem177,24.95088083,0.353990894,0.519629786,0.681236726,0.495721713,0.999931188
Gm101,0,NA,NA,NA,NA,NA
Sctr,0.180213739,0.638386401,4.070217938,0.156843297,0.875368349,NA
Tmem37,3.139120204,0.034194447,1.424045955,0.02401218,0.980842894,NA
Dbi,114.77409,0.255716771,0.274453102,0.931732122,0.351474982,0.999931188
3110009E18Rik,2.916412961,-0.117712611,1.483395495,-0.079353491,0.936751461,NA
Steap3,19.77387506,0.665172104,0.588133992,1.130987348,0.258060417,0.999931188
C1ql2,0,NA,NA,NA,NA,NA
Marco,4.574481625,-0.338522543,1.199748211,-0.282161323,0.777819813,NA
En1,0,NA,NA,NA,NA,NA
B230209K01Rik,0,NA,NA,NA,NA,NA
Insig2,111.6198217,0.086842289,0.269188699,0.322607486,0.746992523,0.999931188
Ccdc93,477.225151,0.146628991,0.16768122,0.874450887,0.381872755,0.999931188
Htr5b,0,NA,NA,NA,NA,NA
Ddx18,120.5424535,-0.053109831,0.260948378,-0.203526199,0.838723771,0.999931188
Gm19329,0,NA,NA,NA,NA,NA
Dpp10,0,NA,NA,NA,NA,NA
Actr3,2317.503895,0.136341417,0.131508024,1.036753599,0.299850706,0.999931188
Slc35f5,207.3345856,0.385423287,0.221153616,1.742785372,0.081371112,0.999931188
