GeneID	Length	1h_m1_t	1h_m1_u	1h_m2_t	1h_m2_u	1h_m3_t	1h_m3_u	6h_m1_t	6h_m1_u	6h_m2_t	6h_m2_u	6h_m3_t	6h_m3_u
ENSMUSG00000102693	1070	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	110	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	6094	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000102851	480	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377	2819	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104017	2233	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025	2309	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699	250	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	2057	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147	926	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103161	3012	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102331	3259	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102348	1634	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592	2351	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	58	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	1364	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	12311	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102948	1867	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104123	1484	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	4772	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104238	2917	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102269	2991	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096126	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103003	450	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328	2773	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102735	936	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104	1470	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102175	1206	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088000	103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265	631	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103922	1069	3	2	3	1	5	4	0	0	6	2	1	6
ENSMUSG00000033845	8487	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000102275	1150	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025903	7145	0	1	0	1	0	0	1	1	0	1	3	0
ENSMUSG00000104217	825	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033813	3017	0	0	0	1	0	0	0	2	0	1	3	1
ENSMUSG00000062588	603	5	5	16	11	8	6	22	0	3	1	9	6
ENSMUSG00000103280	1111	3	3	4	3	1	2	0	0	4	0	5	5
ENSMUSG00000002459	4239	0	0	0	0	0	1	7	0	0	2	0	0
ENSMUSG00000091305	272	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102653	2135	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085623	3725	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091665	1588	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033793	9746	2	0	0	0	0	1	5	6	2	0	3	4
ENSMUSG00000104352	732	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104046	2279	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102907	2032	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025905	9151	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103936	394	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093015	101	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519	1799	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774	3692	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103090	1083	0	0	0	0	0	0	0	0	0	0	0	0
