"","X1h_m1_t","X1h_m1_u","X1h_m2_t","X1h_m2_u","X1h_m3_t","X1h_m3_u"
"ENSMUSG00000061024",164.378490649021,152.749784420145,109.350570127599,109.462692196644,108.945175086454,92.7051526482389
"ENSMUSG00000025911",62.7233714318633,44.1542345589483,72.3643478785583,46.770423029475,53.1858335067726,47.9885496061472
"ENSMUSG00000079671",7.57006206936281,5.96678845391193,8.04048309761759,5.97069230163511,10.2940322916334,7.63454198279615
"ENSMUSG00000081441",334.164168490444,385.454534122711,332.876000241368,345.30503811123,337.987393575297,369.729961738271
"ENSMUSG00000067879",0,0,0,0,0,0
"ENSMUSG00000099827",0,0,0,0,0,0
"ENSMUSG00000025912",5.40718719240201,3.58007307234716,4.0202415488088,4.97557691802925,6.86268819442227,7.63454198279615
"ENSMUSG00000045210",458.52947391569,466.602857095913,566.050010072279,623.937345520868,530.14266301912,558.412213598804
"ENSMUSG00000097893",3.24431231544121,3.58007307234716,0.804048309761759,0,0.857836024302784,1.09064885468516
"ENSMUSG00000025915",174.111427595345,262.538691972125,188.147304484252,163.19892291136,265.07133150956,197.407442698015
"ENSMUSG00000046334",0,2.38671538156477,0,0,0,0
"ENSMUSG00000088916",0,0,0,0,0,0
"ENSMUSG00000046101",1.0814374384804,0,0,0,0.857836024302784,2.18129770937033
"ENSMUSG00000098234",16.221561577206,45.3475922497307,23.317400983091,24.8778845901463,28.3085888019919,22.9036259483884
"ENSMUSG00000093178",0,4.77343076312955,0.804048309761759,0,0.857836024302784,0
"ENSMUSG00000099032",4.32574975392161,7.16014614469432,4.0202415488088,8.95603845245266,8.57836024302784,4.36259541874066
"ENSMUSG00000104025",0,0,0,0,0,0
"ENSMUSG00000025916",0,0,0,0,0,0
"ENSMUSG00000087199",0,0,0,0,0,0
"ENSMUSG00000095780",0,0,0,0,0,0
"ENSMUSG00000025917",213.043175380639,249.411757373519,230.761864901625,224.896076694922,193.013105468126,239.942748030736
"ENSMUSG00000056763",197.903051241914,164.683361327969,227.545671662578,211.959576708046,242.767594877688,195.226144988644
"ENSMUSG00000102356",0,0,0,0,0,0
"ENSMUSG00000067851",1926.0400779336,1188.58426001926,1408.6926387026,1139.4071142287,1439.44884878007,1435.29389276568
"ENSMUSG00000088153",0,0,0,0,0,0
"ENSMUSG00000102556",19.4658738926472,17.9003653617358,16.0809661952352,11.9413846032702,23.1615726561752,31.6288167858698
"ENSMUSG00000042501",1.0814374384804,1.19335769078239,0,0,1.71567204860557,0
"ENSMUSG00000103810",0,0,0,0,0,0
"ENSMUSG00000083422",0,0,0,0,0,0
"ENSMUSG00000094979",0,0,0,0,0,0
"ENSMUSG00000081417",0,0,0,0,0,0
"ENSMUSG00000103448",0,0,0,0,0,0
"ENSMUSG00000100212",0,0,0,0,0,0
"ENSMUSG00000100648",0,0,0,0,0,0
"ENSMUSG00000088585",0,0,0,0,0,0
"ENSMUSG00000048960",1.0814374384804,0,0,0.995115383605851,0,3.27194656405549
"ENSMUSG00000077318",0,0,0,0,0,0
"ENSMUSG00000101827",0,0,0,0,0,0
"ENSMUSG00000103494",0,0,0,0,0,0
"ENSMUSG00000057715",0,0,0,0,0,0
"ENSMUSG00000103825",0,0,0,0,0,0
"ENSMUSG00000099845",0,0,0,0,0,0
"ENSMUSG00000103561",0,0,0,0,0,0
"ENSMUSG00000101610",0,0,0,0,0,0
"ENSMUSG00000093864",0,0,0,0,0,0
"ENSMUSG00000098555",0,0,0,0,0,0
"ENSMUSG00000097628",0,0,0,0,0,0
"ENSMUSG00000098163",0,0,0,0,0,0
"ENSMUSG00000097171",0,0,0,0,0,0
"ENSMUSG00000101314",0,0,0,0,0,0
"ENSMUSG00000016918",4.32574975392161,1.19335769078239,8.04048309761759,26.868115357358,4.28918012151392,13.087786256222
"ENSMUSG00000025938",3.24431231544121,0,2.41214492928528,1.9902307672117,4.28918012151392,0
"ENSMUSG00000104518",0,0,0,0,0,0
"ENSMUSG00000069620",0,0,0,0,0,0
"ENSMUSG00000099498",0,0,0,0,0,0
"ENSMUSG00000042414",0,0,0,0,0,0
"ENSMUSG00000005886",344.978542875248,245.831684301172,292.67358475328,246.788615134251,335.413885502388,282.478053363457
"ENSMUSG00000103506",11.8958118232844,5.96678845391193,9.64857971714111,1.9902307672117,6.00485217011949,8.72519083748131
"ENSMUSG00000103495",6.48862463088241,3.58007307234716,6.43238647809407,5.97069230163511,9.43619626733062,7.63454198279615
"ENSMUSG00000099183",0,0,0,0,0,0
"ENSMUSG00000102639",0,2.38671538156477,0.804048309761759,0.995115383605851,0,1.09064885468516
"ENSMUSG00000104170",2.1628748769608,7.16014614469432,4.82428985857056,2.98534615081755,3.43134409721113,9.81583969216648
"ENSMUSG00000087782",0,3.58007307234716,0.804048309761759,1.9902307672117,0,1.09064885468516
"ENSMUSG00000103085",34.6059980313729,20.2870807433006,28.9457391514233,22.8876538229346,37.7447850693225,25.0849236577588
"ENSMUSG00000102664",21.628748769608,5.96678845391193,20.9052560538057,17.9120769049053,17.1567204860557,29.4475190764994
"ENSMUSG00000101476",1.0814374384804,0,1.60809661952352,0,0,0
"ENSMUSG00000101171",0,0,0,0,0,0
"ENSMUSG00000025935",727.807396097311,723.174760614126,686.657256536542,612.991076301204,680.263967272107,686.018129596968
"ENSMUSG00000025937",177.355739910786,146.782995966234,132.66797111069,122.39919218352,145.832124131473,152.690839655923
"ENSMUSG00000102982",7.57006206936281,4.77343076312955,9.64857971714111,9.95115383605851,5.1470161458167,4.36259541874066
"ENSMUSG00000067813",0,0,0,0,0,0
"ENSMUSG00000077368",0,0,0,0,0,0
"ENSMUSG00000097711",0,0,0,0,0,0
"ENSMUSG00000102166",0,0,0,0,0,0
"ENSMUSG00000089358",0,0,0,0,0,0
"ENSMUSG00000104209",0,0,0,0,0,0
"ENSMUSG00000025932",5.40718719240201,7.16014614469432,6.43238647809407,4.97557691802925,8.57836024302784,6.54389312811098
"ENSMUSG00000095853",0,0,0,0,0,0
"ENSMUSG00000102588",0,0,0,0,0,0
"ENSMUSG00000054493",0,0,0,0,0,0
"ENSMUSG00000025930",0,0,0.804048309761759,0,0,0
"ENSMUSG00000103492",0,0,0,0,0,0
"ENSMUSG00000081201",60.5604965549025,48.9276653220778,48.2428985857056,30.8485768917814,38.6026210936253,46.8979007514621
"ENSMUSG00000082193",65.9676837473045,57.2811691575545,43.418608727135,44.7801922622633,79.7787502601589,52.3511450248879
"ENSMUSG00000032769",0,0,0,0.995115383605851,0,0
"ENSMUSG00000088159",0,0,0,0,0,0
"ENSMUSG00000073737",75.7006206936281,126.495915222933,141.51250251807,146.28196139006,127.817567621115,126.515267143479
"ENSMUSG00000092083",0,0,0,0,0,0
"ENSMUSG00000102937",0,0,0,0,0,0
"ENSMUSG00000104149",0,0,0,0,0,0
"ENSMUSG00000088829",0,0,0,0,0,0
"ENSMUSG00000077377",0,0,0,0,0,0
"ENSMUSG00000101652",0,0,0,0,0,0
"ENSMUSG00000100814",0,0,0,0,0,0
"ENSMUSG00000025925",47.5832472931377,60.8612422299017,50.6550435149908,51.7459999475042,66.0533738713143,61.0763358623692
"ENSMUSG00000104379",2.1628748769608,2.38671538156477,4.0202415488088,2.98534615081755,2.57350807290835,2.18129770937033
"ENSMUSG00000032719",0,0,0,0,0,0
"ENSMUSG00000088943",0,0,0,0,0,0
"ENSMUSG00000100652",0,0,0,0,0,0
"ENSMUSG00000067795",0,0,0,0,0,0
"ENSMUSG00000043716",967.88650743996,905.758487303831,964.053923404349,962.276575946858,880.997596958959,917.235686790223
"ENSMUSG00000025921",34.6059980313729,22.6737961248653,13.6688212659499,12.9364999868761,16.2988844617529,13.087786256222
"ENSMUSG00000104165",0,0,0,0,0,0
"ENSMUSG00000100868",0,0,0,0,0,0
"ENSMUSG00000025920",74.6191832551477,78.7616075916375,53.0671884442761,64.6824999343803,70.3425539928283,78.5267175373318
"ENSMUSG00000089982",0,0,0,0,0,0
"ENSMUSG00000025939",136.261117248531,152.749784420145,147.140840686402,137.325922937607,154.410484374501,137.421755690331
"ENSMUSG00000102457",0,0,0,0,0,0
"ENSMUSG00000079658",214.12461281912,248.218399682736,199.403980820916,196.037730570353,189.581761370915,194.135496133959
"ENSMUSG00000097744",0,0,0.804048309761759,0,0.857836024302784,0
"ENSMUSG00000100959",0,0,0,0,0,0
"ENSMUSG00000025940",55.1533093625005,50.1210230128602,67.5400580199878,50.7508845638984,45.4653092880475,55.6230915889434
"ENSMUSG00000025779",62.7233714318633,69.2147460653784,58.6955266126084,47.7655384130808,54.9015055553782,53.441793879573
"ENSMUSG00000100093",0,0,0,0,0,0
"ENSMUSG00000091020",1.0814374384804,2.38671538156477,4.82428985857056,0.995115383605851,0,4.36259541874066
"ENSMUSG00000101640",0,0,0,0.995115383605851,1.71567204860557,0
"ENSMUSG00000104133",0,0,0,0,0,0
"ENSMUSG00000042686",1.0814374384804,1.19335769078239,0,0,0.857836024302784,0
"ENSMUSG00000100110",0,0,0,0,0,0
"ENSMUSG00000025777",0,0,0,0,0,0
"ENSMUSG00000099899",0,0,0,0,0,0
"ENSMUSG00000100272",0,0,0,0,0,0
"ENSMUSG00000100398",0,0,0,0,0,0
"ENSMUSG00000101589",5.40718719240201,10.7402192170415,8.04048309761759,7.96092306884681,6.86268819442227,4.36259541874066
"ENSMUSG00000102048",0,0,0,0,0,0
"ENSMUSG00000089534",0,0,0,0,0,0
"ENSMUSG00000067780",1.0814374384804,0,0,0.995115383605851,0,0
"ENSMUSG00000100053",0,0,0,0,0,0
"ENSMUSG00000085125",0,0,0,0,0,0
"ENSMUSG00000025776",0,0,0,0,0,0
"ENSMUSG00000099895",0,0,0,0,0,0
"ENSMUSG00000100554",0,0,0,0,0,0
"ENSMUSG00000099473",0,0,0,0,0,0
"ENSMUSG00000099591",0,0,0,0,0,0
"ENSMUSG00000109887",0,1.19335769078239,0,0,0,0
"ENSMUSG00000102001",0,0,0,0,0,0
"ENSMUSG00000101717",0,0,0,0,0,0
"ENSMUSG00000025774",0,0,0,0,0,0
"ENSMUSG00000070977",0,0,0,0,0,0
"ENSMUSG00000073735",0,0,0,0,0,0
"ENSMUSG00000067773",0,0,0,0,0,0
"ENSMUSG00000101685",0,0,0,0,0,0
"ENSMUSG00000101306",0,0,0,0,0,0
"ENSMUSG00000088800",0,0,0,0,0,0
"ENSMUSG00000101644",0,0,0,0,0,0
"ENSMUSG00000099433",0,0,0,0,0,0
"ENSMUSG00000089787",0,0,0,0,0,0
"ENSMUSG00000042596",0,0,0,0,0,0
"ENSMUSG00000100720",33.5245605928925,27.4472268879949,28.9457391514233,34.8290384262048,26.5929167533863,21.8129770937033
"ENSMUSG00000025927",0,0,0,0,0,0
"ENSMUSG00000100538",0,0,0,0,0,0
"ENSMUSG00000101117",0,0,0,0,0,0
"ENSMUSG00000100204",0,0,0,0,0.857836024302784,1.09064885468516
"ENSMUSG00000084668",0,0,0,0,0,0
"ENSMUSG00000102597",0,0,0,0,0,0
"ENSMUSG00000043760",0,0,0,0,0,1.09064885468516
"ENSMUSG00000104095",0,0,0,0,0,0
"ENSMUSG00000089914",0,0,0,0,0,0
"ENSMUSG00000090142",0,0,0,0,0,0
"ENSMUSG00000070175",0,0,0,0,0,0
"ENSMUSG00000099906",0,0,0,0,0,0
"ENSMUSG00000065559",0,0,0,0,0,0
"ENSMUSG00000065480",0,0,0,0,0,0
"ENSMUSG00000025929",0,0,2.41214492928528,9.95115383605851,0,0
"ENSMUSG00000041872",0,0,2.41214492928528,1.9902307672117,2.57350807290835,0
"ENSMUSG00000041859",86.5149950784322,82.3416806639847,75.5805411176054,68.6629614688037,66.9112098956171,61.0763358623692
"ENSMUSG00000099714",0,0,0,0,0,0
"ENSMUSG00000102121",0,0,0,0,0,0
"ENSMUSG00000088858",0,0,0,0,0,0
"ENSMUSG00000097934",0,0,0,0,0,0
"ENSMUSG00000025931",11.8958118232844,9.54686152625909,16.0809661952352,10.9462692196644,7.72052421872505,6.54389312811098
"ENSMUSG00000077314",0,0,0,0,0,0
"ENSMUSG00000100929",0,0,0,0,0,0
"ENSMUSG00000041809",0,0,0.804048309761759,1.9902307672117,1.71567204860557,3.27194656405549
"ENSMUSG00000041779",128.691055179168,94.2752575718085,145.532744066878,107.472461429432,133.822419791234,158.144083929349
"ENSMUSG00000099971",0,0,0,0.995115383605851,0,0
"ENSMUSG00000100819",0,1.19335769078239,0,0.995115383605851,0,0
"ENSMUSG00000025933",0,3.58007307234716,3.21619323904704,1.9902307672117,4.28918012151392,2.18129770937033
"ENSMUSG00000102633",0,0,0,0,0,0
"ENSMUSG00000025934",1.0814374384804,1.19335769078239,2.41214492928528,0,2.57350807290835,0
"ENSMUSG00000099343",0,0,0,0,0,0
"ENSMUSG00000096375",0,0,0.804048309761759,0,0,0
"ENSMUSG00000025936",0,0,0,0,0,0
"ENSMUSG00000093963",0,0,0,0,0,0
"ENSMUSG00000067750",0,0,0,0,0,0
"ENSMUSG00000086194",0,0,0,0,0,0
"ENSMUSG00000094436",0,0,0,0,0,0
"ENSMUSG00000041722",0,0,0,0,0,0
"ENSMUSG00000085507",0,0,0,0,0,0
"ENSMUSG00000094926",0,0,0,0,0,0
"ENSMUSG00000085079",0,0,0,0,0,0
"ENSMUSG00000085679",0,0,0,0,0,0
"ENSMUSG00000028033",0,0,1.60809661952352,0,0,0
"ENSMUSG00000104138",0,0,0,0,0,0
"ENSMUSG00000082935",23.7916236465688,21.480438434083,19.2971594342822,13.9316153704819,17.1567204860557,18.5410305296478
"ENSMUSG00000103748",0,0,0,0,0,0
"ENSMUSG00000099692",0,0,0,0,0,0
"ENSMUSG00000100418",0,0,0,0,0,0
